,algorithm,clustering_algorithm,dimensions,ari,ami,ch,sc,mechanism,epsilon
0,piecewise,KMeans(clusters=5),2,-0.0014960572135740676,-0.0011734799218879348,774.7248849846602,0.3574660676655516,piecewise,0.5
1,piecewise,OPTICS(min_samples=4),2,0.0038041428669690182,-0.006364600038486193,11.689745085027877,-0.02395290011836138,piecewise,0.5
2,piecewise,KMeans(clusters=4),3,0.0007939154615813112,0.001111601249593678,366.3138702160123,0.2583548817015278,piecewise,0.5
3,piecewise,OPTICS(min_samples=6),3,0.02724424093559118,0.013886074820073984,9.74932666147971,-0.3344953083074474,piecewise,0.5
4,piecewise,KMeans(clusters=5),2,0.0062385998997480305,0.012631074615368453,744.5582028862314,0.3465045532288297,piecewise,0.7
5,piecewise,OPTICS(min_samples=4),2,0.011110126764269559,0.004895737767701361,14.740745030805133,-0.02844016795308301,piecewise,0.7
6,piecewise,KMeans(clusters=4),3,0.0010342168235681647,0.001597350540191769,356.4340331126831,0.25275429747601025,piecewise,0.7
7,piecewise,OPTICS(min_samples=6),3,-0.010017931719454545,-0.006631618192271617,8.814186543984409,-0.37391846186657374,piecewise,0.7
8,piecewise,KMeans(clusters=5),2,0.01925167930225229,0.02157093779962483,658.5018849506109,0.3245534164484831,piecewise,1.0
9,piecewise,OPTICS(min_samples=4),2,-0.005087032537568417,0.0041141598936867505,11.325149790675137,-0.11490185568181246,piecewise,1.0
10,piecewise,KMeans(clusters=4),3,0.008844661155756597,0.012345495431513216,333.400975592099,0.23869796025554124,piecewise,1.0
11,piecewise,OPTICS(min_samples=6),3,0.042343516944464386,0.008079488936666279,7.538019613265151,-0.3773585726704686,piecewise,1.0
12,piecewise,KMeans(clusters=5),2,0.022307253969643455,0.020236616926826413,634.8642454897914,0.33109583686594324,piecewise,1.5
13,piecewise,OPTICS(min_samples=4),2,-0.012109878229884767,-0.0020844405561808873,9.23256751952474,-0.11433888902110187,piecewise,1.5
14,piecewise,KMeans(clusters=4),3,0.022827904942940794,0.027892812349251495,325.19517062785843,0.23577094798402412,piecewise,1.5
15,piecewise,OPTICS(min_samples=6),3,-0.02487445911540933,-0.0023960294890934134,9.01329065199367,-0.3984936064513624,piecewise,1.5
16,piecewise,KMeans(clusters=5),2,0.09191463337306559,0.05794588031032705,598.846487210357,0.34125350624769873,piecewise,2.0
17,piecewise,OPTICS(min_samples=4),2,0.015660520482796668,0.013608930957124876,8.772393987126195,-0.09299024450372917,piecewise,2.0
18,piecewise,KMeans(clusters=4),3,0.06174047711193864,0.06839780981275986,303.7155191499852,0.22275450312622103,piecewise,2.0
19,piecewise,OPTICS(min_samples=6),3,0.014059503433399003,0.0028980129162002937,6.455550595502689,-0.40255139815321855,piecewise,2.0
20,piecewise,KMeans(clusters=5),2,0.14588897993585878,0.10955973114752955,594.1907707836823,0.34284268497677595,piecewise,2.5
21,piecewise,OPTICS(min_samples=4),2,0.0008495029409839261,0.005909452596811612,7.3544766746842924,-0.09175357257823105,piecewise,2.5
22,piecewise,KMeans(clusters=4),3,0.06092852826171959,0.07160871124554453,305.3512780938016,0.22724107626363219,piecewise,2.5
23,piecewise,OPTICS(min_samples=6),3,0.0023074843957917686,0.00028808457724781647,5.540760504414131,-0.40828473566263657,piecewise,2.5
24,piecewise,KMeans(clusters=5),2,0.2313518360597925,0.18770655822957036,573.5743571981219,0.3478570926451976,piecewise,3.0
25,piecewise,OPTICS(min_samples=4),2,0.006386490385658155,0.011633859452254928,10.583878329341008,-0.0543956648847632,piecewise,3.0
26,piecewise,KMeans(clusters=4),3,0.16178424457628707,0.1494163954515148,286.8265433794087,0.21998637189413373,piecewise,3.0
27,piecewise,OPTICS(min_samples=6),3,0.02092136948993118,0.012433103438677668,7.1244985471389555,-0.4084251749360595,piecewise,3.0
28,piecewise,KMeans(clusters=5),2,0.34686695278984736,0.2684690928555834,593.9511039864316,0.37276880197698176,piecewise,3.5
29,piecewise,OPTICS(min_samples=4),2,0.05299157867991361,0.04480214118691904,7.753654192658985,-0.141855403819755,piecewise,3.5
30,piecewise,KMeans(clusters=4),3,0.24351188734078416,0.23387443756438944,299.63170215372566,0.2251448395173496,piecewise,3.5
31,piecewise,OPTICS(min_samples=6),3,-0.03502844109626708,-0.007119705146798963,6.19186106813112,-0.42069149640781955,piecewise,3.5
32,piecewise,KMeans(clusters=5),2,0.6084280896347268,0.5317395912830158,552.8566414145511,0.3684678050863935,piecewise,5.0
33,piecewise,OPTICS(min_samples=4),2,0.045617295545127154,0.10318478586957354,8.42254142957329,-0.12089496133573227,piecewise,5.0
34,piecewise,KMeans(clusters=4),3,0.5550431402628078,0.4901922272802399,292.8075380171281,0.2291363306781608,piecewise,5.0
35,piecewise,OPTICS(min_samples=6),3,0.10478043378018571,0.11524610310933052,11.304768986065403,-0.39827577138515735,piecewise,5.0
36,piecewise,KMeans(clusters=5),2,0.8116502638674927,0.7340916420835291,540.6406660298046,0.3624365413809244,piecewise,7.0
37,piecewise,OPTICS(min_samples=4),2,0.1584956147667475,0.2992366195131247,7.479845615515382,-0.10123319418971943,piecewise,7.0
38,piecewise,KMeans(clusters=4),3,0.7049283836511056,0.654324584858671,282.9806922096453,0.2207229058093529,piecewise,7.0
39,piecewise,OPTICS(min_samples=6),3,0.3046746344696744,0.2758531393336198,5.9862300895279015,-0.45247416659139417,piecewise,7.0
40,piecewise,KMeans(clusters=5),2,0.8851943381035356,0.8279269844211035,548.5867303076244,0.36793039703148034,piecewise,9.0
