,epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run,dimension
54,2.5,0.408,0.7073170731707317,[0.    0.696 1.   ],[0.    0.288 1.   ],4,2
55,2.5,0.48000000000000004,0.717391304347826,[0.    0.792 1.   ],[0.    0.312 1.   ],5,2
56,2.5,0.5920000000000001,0.8032786885245902,[0.    0.784 1.   ],[0.    0.192 1.   ],6,2
57,2.5,0.328,0.6357615894039735,[0.    0.768 1.   ],[0.   0.44 1.  ],7,2
58,2.5,0.344,0.6335403726708075,[0.    0.816 1.   ],[0.    0.472 1.   ],8,2
59,2.5,0.528,0.7704918032786885,[0.    0.752 1.   ],[0.    0.224 1.   ],9,2
60,3.0,0.43200000000000005,0.6875,[0.    0.792 1.   ],[0.   0.36 1.  ],0,2
61,3.0,0.448,0.7058823529411764,[0.    0.768 1.   ],[0.   0.32 1.  ],1,2
62,3.0,0.23199999999999998,0.5935483870967742,[0.    0.736 1.   ],[0.    0.504 1.   ],2,2
63,3.0,0.36800000000000005,0.6474358974358975,[0.    0.808 1.   ],[0.   0.44 1.  ],3,2
64,3.0,0.352,0.6325301204819278,[0.   0.84 1.  ],[0.    0.488 1.   ],4,2
65,3.0,0.44,0.7007299270072992,[0.    0.768 1.   ],[0.    0.328 1.   ],5,2
66,3.0,0.264,0.607843137254902,[0.    0.744 1.   ],[0.   0.48 1.  ],6,2
67,3.0,0.392,0.6814814814814815,[0.    0.736 1.   ],[0.    0.344 1.   ],7,2
68,3.0,0.44799999999999995,0.7372881355932204,[0.    0.696 1.   ],[0.    0.248 1.   ],8,2
69,3.0,0.37600000000000006,0.6556291390728477,[0.    0.792 1.   ],[0.    0.416 1.   ],9,2
70,3.5,0.24,0.5986842105263158,[0.    0.728 1.   ],[0.    0.488 1.   ],0,2
71,3.5,0.344,0.6335403726708075,[0.    0.816 1.   ],[0.    0.472 1.   ],1,2
72,3.5,0.352,0.6549295774647886,[0.    0.744 1.   ],[0.    0.392 1.   ],2,2
73,3.5,0.296,0.6258503401360545,[0.    0.736 1.   ],[0.   0.44 1.  ],3,2
74,3.5,0.456,0.7175572519083969,[0.    0.752 1.   ],[0.    0.296 1.   ],4,2
75,3.5,0.432,0.6708860759493671,[0.    0.848 1.   ],[0.    0.416 1.   ],5,2
76,3.5,0.31999999999999995,0.6515151515151514,[0.    0.688 1.   ],[0.    0.368 1.   ],6,2
77,3.5,0.23999999999999994,0.6027397260273972,[0.    0.704 1.   ],[0.    0.464 1.   ],7,2
78,3.5,0.38400000000000006,0.6558441558441559,[0.    0.808 1.   ],[0.    0.424 1.   ],8,2
79,3.5,0.44800000000000006,0.6971830985915493,[0.    0.792 1.   ],[0.    0.344 1.   ],9,2
80,5.0,0.304,0.6283783783783784,[0.    0.744 1.   ],[0.   0.44 1.  ],0,2
81,5.0,0.272,0.6049382716049383,[0.    0.784 1.   ],[0.    0.512 1.   ],1,2
82,5.0,0.368,0.6352941176470589,[0.    0.864 1.   ],[0.    0.496 1.   ],2,2
83,5.0,0.36799999999999994,0.6455696202531646,[0.    0.816 1.   ],[0.    0.448 1.   ],3,2
84,5.0,0.44000000000000006,0.6870748299319728,[0.    0.808 1.   ],[0.    0.368 1.   ],4,2
85,5.0,0.272,0.5934065934065934,[0.    0.864 1.   ],[0.    0.592 1.   ],5,2
86,5.0,0.32799999999999996,0.6496350364963502,[0.    0.712 1.   ],[0.    0.384 1.   ],6,2
87,5.0,0.29600000000000004,0.5978835978835979,[0.    0.904 1.   ],[0.    0.608 1.   ],7,2
88,5.0,0.24799999999999994,0.6083916083916084,[0.    0.696 1.   ],[0.    0.448 1.   ],8,2
89,5.0,0.36,0.6595744680851063,[0.    0.744 1.   ],[0.    0.384 1.   ],9,2
90,7.0,0.432,0.66875,[0.    0.856 1.   ],[0.    0.424 1.   ],0,2
91,7.0,0.39999999999999997,0.6582278481012658,[0.    0.832 1.   ],[0.    0.432 1.   ],1,2
92,7.0,0.41600000000000004,0.6780821917808219,[0.    0.792 1.   ],[0.    0.376 1.   ],2,2
93,7.0,0.28,0.6060606060606061,[0.  0.8 1. ],[0.   0.52 1.  ],3,2
94,7.0,0.32,0.6282051282051282,[0.    0.784 1.   ],[0.    0.464 1.   ],4,2
95,7.0,0.37600000000000006,0.6556291390728477,[0.    0.792 1.   ],[0.    0.416 1.   ],5,2
96,7.0,0.39199999999999996,0.6484848484848484,[0.    0.856 1.   ],[0.    0.464 1.   ],6,2
97,7.0,0.26399999999999996,0.6122448979591837,[0.   0.72 1.  ],[0.    0.456 1.   ],7,2
98,7.0,0.344,0.6257309941520468,[0.    0.856 1.   ],[0.    0.512 1.   ],8,2
99,7.0,0.37600000000000006,0.6516129032258065,[0.    0.808 1.   ],[0.    0.432 1.   ],9,2
100,9.0,0.344,0.6214689265536724,[0.   0.88 1.  ],[0.    0.536 1.   ],0,2
101,9.0,0.32000000000000006,0.6234567901234568,[0.    0.808 1.   ],[0.    0.488 1.   ],1,2
102,9.0,0.31200000000000006,0.6242038216560509,[0.    0.784 1.   ],[0.    0.472 1.   ],2,2
103,9.0,0.32,0.6298701298701299,[0.    0.776 1.   ],[0.    0.456 1.   ],3,2
104,9.0,0.19999999999999996,0.5766871165644172,[0.    0.752 1.   ],[0.    0.552 1.   ],4,2
105,9.0,0.3360000000000001,0.63125,[0.    0.808 1.   ],[0.    0.472 1.   ],5,2
106,9.0,0.30400000000000005,0.6217948717948718,[0.    0.776 1.   ],[0.    0.472 1.   ],6,2
107,9.0,0.392,0.6449704142011835,[0.    0.872 1.   ],[0.   0.48 1.  ],7,2
108,9.0,0.384,0.6621621621621621,[0.    0.784 1.   ],[0.  0.4 1. ],8,2
109,9.0,0.408,0.656441717791411,[0.    0.856 1.   ],[0.    0.448 1.   ],9,2
110,0.5,0.408,1.0,[0.    0.408 1.   ],[0. 0. 1.],0,3
111,0.5,-0.016000000000000014,0.48936170212765956,[0.    0.368 1.   ],[0.    0.384 1.   ],1,3
112,0.5,-0.008000000000000007,0.4946236559139785,[0.    0.368 1.   ],[0.    0.376 1.   ],2,3
113,0.5,0.016000000000000014,0.515625,[0.    0.264 1.   ],[0.    0.248 1.   ],3,3
114,0.5,0.23199999999999998,0.9677419354838709,[0.   0.24 1.  ],[0.    0.008 1.   ],4,3
115,0.5,0.2,0.7192982456140351,[0.    0.328 1.   ],[0.    0.128 1.   ],5,3
116,0.5,0.408,1.0,[0.    0.408 1.   ],[0. 0. 1.],6,3
117,0.5,0.416,0.9642857142857143,[0.    0.432 1.   ],[0.    0.016 1.   ],7,3
118,0.5,0.304,0.8275862068965517,[0.    0.384 1.   ],[0.   0.08 1.  ],8,3
119,0.5,-0.096,0.40909090909090906,[0.    0.216 1.   ],[0.    0.312 1.   ],9,3
120,0.7,0.096,0.6428571428571429,[0.    0.216 1.   ],[0.   0.12 1.  ],0,3
121,0.7,0.12,0.5974025974025974,[0.    0.368 1.   ],[0.    0.248 1.   ],1,3
122,0.7,0.304,0.9523809523809523,[0.   0.32 1.  ],[0.    0.016 1.   ],2,3
123,0.7,0.016000000000000014,0.5111111111111111,[0.    0.368 1.   ],[0.    0.352 1.   ],3,3
124,0.7,0.288,0.9736842105263158,[0.    0.296 1.   ],[0.    0.008 1.   ],4,3
125,0.7,0.33599999999999997,0.8181818181818181,[0.    0.432 1.   ],[0.    0.096 1.   ],5,3
126,0.7,0.39999999999999997,0.9464285714285714,[0.    0.424 1.   ],[0.    0.024 1.   ],6,3
127,0.7,0.2,0.9310344827586208,[0.    0.216 1.   ],[0.    0.016 1.   ],7,3
128,0.7,0.33599999999999997,0.9199999999999999,[0.    0.368 1.   ],[0.    0.032 1.   ],8,3
129,0.7,0.344,0.8524590163934426,[0.    0.416 1.   ],[0.    0.072 1.   ],9,3
130,1.0,0.09599999999999997,0.575,[0.    0.368 1.   ],[0.    0.272 1.   ],0,3
