,epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run,dimension
199,5.0,0.176,0.7037037037037037,[0.    0.304 1.   ],[0.    0.128 1.   ],9,3
200,7.0,0.136,0.6268656716417911,[0.    0.336 1.   ],[0.  0.2 1. ],0,3
201,7.0,0.2,0.6712328767123287,[0.    0.392 1.   ],[0.    0.192 1.   ],1,3
202,7.0,0.08800000000000002,0.5774647887323944,[0.    0.328 1.   ],[0.   0.24 1.  ],2,3
203,7.0,0.32,0.7222222222222223,[0.   0.52 1.  ],[0.  0.2 1. ],3,3
204,7.0,0.14400000000000002,0.6451612903225806,[0.   0.32 1.  ],[0.    0.176 1.   ],4,3
205,7.0,0.09599999999999997,0.581081081081081,[0.    0.344 1.   ],[0.    0.248 1.   ],5,3
206,7.0,0.29600000000000004,0.7466666666666667,[0.    0.448 1.   ],[0.    0.152 1.   ],6,3
207,7.0,0.216,0.6626506024096386,[0.   0.44 1.  ],[0.    0.224 1.   ],7,3
208,7.0,0.128,0.5888888888888889,[0.    0.424 1.   ],[0.    0.296 1.   ],8,3
209,7.0,0.152,0.6301369863013699,[0.    0.368 1.   ],[0.    0.216 1.   ],9,3
210,9.0,0.264,0.7538461538461538,[0.    0.392 1.   ],[0.    0.128 1.   ],0,3
211,9.0,0.04799999999999999,0.5441176470588235,[0.    0.296 1.   ],[0.    0.248 1.   ],1,3
212,9.0,0.216,0.6708860759493671,[0.    0.424 1.   ],[0.    0.208 1.   ],2,3
213,9.0,0.16799999999999998,0.6615384615384614,[0.    0.344 1.   ],[0.    0.176 1.   ],3,3
214,9.0,0.20799999999999996,0.6710526315789473,[0.    0.408 1.   ],[0.  0.2 1. ],4,3
215,9.0,0.19200000000000003,0.6578947368421053,[0.  0.4 1. ],[0.    0.208 1.   ],5,3
216,9.0,0.11999999999999997,0.6056338028169014,[0.    0.344 1.   ],[0.    0.224 1.   ],6,3
217,9.0,0.19199999999999998,0.6818181818181818,[0.   0.36 1.  ],[0.    0.168 1.   ],7,3
218,9.0,0.208,0.6666666666666666,[0.    0.416 1.   ],[0.    0.208 1.   ],8,3
219,9.0,0.14399999999999996,0.6323529411764705,[0.    0.344 1.   ],[0.  0.2 1. ],9,3
