,epsilon,shokri_mi_adv,precision,attack_adv,tpr,fpr,run,dimension
149,2.5,0.06399999999999999,0.6111111111111112,0.06399999999999999,[0.    0.176 1.   ],[0.    0.112 1.   ],9,3
150,3.0,0.008000000000000007,0.5066666666666667,0.008000000000000007,[0.    0.304 1.   ],[0.    0.296 1.   ],0,3
151,3.0,0.008000000000000007,0.5072463768115942,0.008000000000000007,[0.   0.28 1.  ],[0.    0.272 1.   ],1,3
152,3.0,0.0,0.5,0.0,[0.    0.056 1.   ],[0.    0.056 1.   ],2,3
153,3.0,-0.16799999999999998,0.37037037037037035,-0.16799999999999998,[0.   0.24 1.  ],[0.    0.408 1.   ],3,3
154,3.0,-0.055999999999999994,0.45977011494252873,-0.055999999999999994,[0.   0.32 1.  ],[0.    0.376 1.   ],4,3
155,3.0,0.07200000000000001,0.5420560747663551,0.07200000000000001,[0.    0.464 1.   ],[0.    0.392 1.   ],5,3
156,3.0,0.008000000000000007,0.5051546391752577,0.008000000000000007,[0.    0.392 1.   ],[0.    0.384 1.   ],6,3
157,3.0,0.032,0.5555555555555556,0.032,[0.   0.16 1.  ],[0.    0.128 1.   ],7,3
158,3.0,0.08000000000000002,0.5480769230769231,0.08000000000000002,[0.    0.456 1.   ],[0.    0.376 1.   ],8,3
159,3.0,-0.016000000000000014,0.48717948717948717,-0.016000000000000014,[0.    0.304 1.   ],[0.   0.32 1.  ],9,3
160,3.5,0.04799999999999999,0.5416666666666666,0.04799999999999999,[0.    0.312 1.   ],[0.    0.264 1.   ],0,3
161,3.5,0.0,0.5,0.0,[0.    0.384 1.   ],[0.    0.384 1.   ],1,3
162,3.5,-0.05600000000000005,0.46788990825688076,-0.05600000000000005,[0.    0.408 1.   ],[0.    0.464 1.   ],2,3
163,3.5,-0.03999999999999998,0.4778761061946903,-0.03999999999999998,[0.    0.432 1.   ],[0.    0.472 1.   ],3,3
164,3.5,0.03200000000000003,0.5181818181818182,0.03200000000000003,[0.    0.456 1.   ],[0.    0.424 1.   ],4,3
165,3.5,-0.07200000000000001,0.43661971830985913,-0.07200000000000001,[0.    0.248 1.   ],[0.   0.32 1.  ],5,3
166,3.5,-0.040000000000000036,0.4725274725274725,-0.040000000000000036,[0.    0.344 1.   ],[0.    0.384 1.   ],6,3
167,3.5,0.016000000000000014,0.5087719298245614,0.016000000000000014,[0.    0.464 1.   ],[0.    0.448 1.   ],7,3
168,3.5,-0.03200000000000003,0.4818181818181818,-0.03200000000000003,[0.    0.424 1.   ],[0.    0.456 1.   ],8,3
169,3.5,0.064,0.5357142857142857,0.064,[0.   0.48 1.  ],[0.    0.416 1.   ],9,3
170,5.0,0.055999999999999994,0.5327102803738317,0.055999999999999994,[0.    0.456 1.   ],[0.  0.4 1. ],0,3
171,5.0,-0.03199999999999997,0.4830508474576271,-0.03199999999999997,[0.    0.456 1.   ],[0.    0.488 1.   ],1,3
172,5.0,0.008000000000000007,0.5061728395061729,0.008000000000000007,[0.    0.328 1.   ],[0.   0.32 1.  ],2,3
173,5.0,-0.055999999999999994,0.45569620253164556,-0.055999999999999994,[0.    0.288 1.   ],[0.    0.344 1.   ],3,3
174,5.0,0.040000000000000036,0.5324675324675324,0.040000000000000036,[0.    0.328 1.   ],[0.    0.288 1.   ],4,3
175,5.0,0.0,0.5,0.0,[0.    0.312 1.   ],[0.    0.312 1.   ],5,3
176,5.0,0.023999999999999994,0.5333333333333333,0.023999999999999994,[0.    0.192 1.   ],[0.    0.168 1.   ],6,3
177,5.0,-0.09599999999999997,0.44545454545454544,-0.09599999999999997,[0.    0.392 1.   ],[0.    0.488 1.   ],7,3
178,5.0,0.0,0.5,0.0,[0.    0.256 1.   ],[0.    0.256 1.   ],8,3
179,5.0,-0.040000000000000036,0.4796747967479675,-0.040000000000000036,[0.    0.472 1.   ],[0.    0.512 1.   ],9,3
180,7.0,-0.008000000000000007,0.4959349593495935,-0.008000000000000007,[0.    0.488 1.   ],[0.    0.496 1.   ],0,3
181,7.0,-0.02400000000000002,0.49171270718232046,-0.02400000000000002,[0.    0.712 1.   ],[0.    0.736 1.   ],1,3
182,7.0,-0.02400000000000002,0.49101796407185627,-0.02400000000000002,[0.    0.656 1.   ],[0.   0.68 1.  ],2,3
183,7.0,-0.02400000000000002,0.48905109489051096,-0.02400000000000002,[0.    0.536 1.   ],[0.   0.56 1.  ],3,3
184,7.0,0.05599999999999994,0.5244755244755245,0.05599999999999994,[0.  0.6 1. ],[0.    0.544 1.   ],4,3
185,7.0,0.008000000000000007,0.5045045045045045,0.008000000000000007,[0.    0.448 1.   ],[0.   0.44 1.  ],5,3
186,7.0,0.03200000000000003,0.5185185185185185,0.03200000000000003,[0.    0.448 1.   ],[0.    0.416 1.   ],6,3
187,7.0,-0.03200000000000003,0.48148148148148145,-0.03200000000000003,[0.    0.416 1.   ],[0.    0.448 1.   ],7,3
