,epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run,dimension
54,2.5,0.6160000000000001,0.8181818181818182,[0.    0.792 1.   ],[0.    0.176 1.   ],4,2
55,2.5,0.416,0.6940298507462687,[0.    0.744 1.   ],[0.    0.328 1.   ],5,2
56,2.5,0.528,0.726027397260274,[0.    0.848 1.   ],[0.   0.32 1.  ],6,2
57,2.5,0.656,0.7887323943661971,[0.    0.896 1.   ],[0.   0.24 1.  ],7,2
58,2.5,0.592,0.76056338028169,[0.    0.864 1.   ],[0.    0.272 1.   ],8,2
59,2.5,0.49599999999999994,0.7183098591549296,[0.    0.816 1.   ],[0.   0.32 1.  ],9,2
60,3.0,0.5840000000000001,0.7517241379310345,[0.    0.872 1.   ],[0.    0.288 1.   ],0,2
61,3.0,0.696,0.83206106870229,[0.    0.872 1.   ],[0.    0.176 1.   ],1,2
62,3.0,0.568,0.7669172932330827,[0.    0.816 1.   ],[0.    0.248 1.   ],2,2
63,3.0,0.616,0.7692307692307692,[0.   0.88 1.  ],[0.    0.264 1.   ],3,2
64,3.0,0.52,0.7338129496402878,[0.    0.816 1.   ],[0.    0.296 1.   ],4,2
65,3.0,0.5599999999999999,0.7611940298507461,[0.    0.816 1.   ],[0.    0.256 1.   ],5,2
66,3.0,0.64,0.7941176470588235,[0.    0.864 1.   ],[0.    0.224 1.   ],6,2
67,3.0,0.52,0.7304964539007093,[0.    0.824 1.   ],[0.    0.304 1.   ],7,2
68,3.0,0.6000000000000001,0.7551020408163266,[0.    0.888 1.   ],[0.    0.288 1.   ],8,2
69,3.0,0.49600000000000005,0.7313432835820896,[0.    0.784 1.   ],[0.    0.288 1.   ],9,2
70,3.5,0.664,0.7748344370860927,[0.    0.936 1.   ],[0.    0.272 1.   ],0,2
71,3.5,0.68,0.7972027972027972,[0.    0.912 1.   ],[0.    0.232 1.   ],1,2
72,3.5,0.672,0.7957746478873239,[0.    0.904 1.   ],[0.    0.232 1.   ],2,2
73,3.5,0.6080000000000001,0.8015873015873016,[0.    0.808 1.   ],[0.  0.2 1. ],3,2
74,3.5,0.512,0.7105263157894737,[0.    0.864 1.   ],[0.    0.352 1.   ],4,2
75,3.5,0.5439999999999999,0.7499999999999999,[0.    0.816 1.   ],[0.    0.272 1.   ],5,2
76,3.5,0.5760000000000001,0.7465753424657535,[0.    0.872 1.   ],[0.    0.296 1.   ],6,2
77,3.5,0.6319999999999999,0.811023622047244,[0.    0.824 1.   ],[0.    0.192 1.   ],7,2
78,3.5,0.72,0.8040540540540541,[0.    0.952 1.   ],[0.    0.232 1.   ],8,2
79,3.5,0.672,0.7916666666666666,[0.    0.912 1.   ],[0.   0.24 1.  ],9,2
80,5.0,0.6240000000000001,0.76,[0.    0.912 1.   ],[0.    0.288 1.   ],0,2
81,5.0,0.496,0.7066666666666667,[0.    0.848 1.   ],[0.    0.352 1.   ],1,2
82,5.0,0.784,0.8602941176470588,[0.    0.936 1.   ],[0.    0.152 1.   ],2,2
83,5.0,0.528,0.7323943661971831,[0.    0.832 1.   ],[0.    0.304 1.   ],3,2
84,5.0,0.6880000000000001,0.8115942028985507,[0.    0.896 1.   ],[0.    0.208 1.   ],4,2
85,5.0,0.704,0.8235294117647058,[0.    0.896 1.   ],[0.    0.192 1.   ],5,2
86,5.0,0.6880000000000001,0.798611111111111,[0.   0.92 1.  ],[0.    0.232 1.   ],6,2
87,5.0,0.688,0.7792207792207791,[0.   0.96 1.  ],[0.    0.272 1.   ],7,2
88,5.0,0.608,0.7602739726027397,[0.    0.888 1.   ],[0.   0.28 1.  ],8,2
89,5.0,0.64,0.7777777777777777,[0.    0.896 1.   ],[0.    0.256 1.   ],9,2
90,7.0,0.6799999999999999,0.7814569536423841,[0.    0.944 1.   ],[0.    0.264 1.   ],0,2
91,7.0,0.6880000000000001,0.7905405405405405,[0.    0.936 1.   ],[0.    0.248 1.   ],1,2
92,7.0,0.64,0.7666666666666666,[0.   0.92 1.  ],[0.   0.28 1.  ],2,2
93,7.0,0.696,0.8175182481751825,[0.    0.896 1.   ],[0.  0.2 1. ],3,2
94,7.0,0.6719999999999999,0.7658227848101266,[0.    0.968 1.   ],[0.    0.296 1.   ],4,2
95,7.0,0.6320000000000001,0.758169934640523,[0.    0.928 1.   ],[0.    0.296 1.   ],5,2
96,7.0,0.68,0.785234899328859,[0.    0.936 1.   ],[0.    0.256 1.   ],6,2
97,7.0,0.592,0.7681159420289855,[0.    0.848 1.   ],[0.    0.256 1.   ],7,2
98,7.0,0.696,0.7843137254901961,[0.   0.96 1.  ],[0.    0.264 1.   ],8,2
99,7.0,0.648,0.7872340425531914,[0.    0.888 1.   ],[0.   0.24 1.  ],9,2
100,9.0,0.624,0.7746478873239436,[0.   0.88 1.  ],[0.    0.256 1.   ],0,2
101,9.0,0.6,0.7622377622377622,[0.    0.872 1.   ],[0.    0.272 1.   ],1,2
102,9.0,0.648,0.7682119205298013,[0.    0.928 1.   ],[0.   0.28 1.  ],2,2
103,9.0,0.648,0.7832167832167831,[0.    0.896 1.   ],[0.    0.248 1.   ],3,2
104,9.0,0.648,0.7718120805369126,[0.   0.92 1.  ],[0.    0.272 1.   ],4,2
105,9.0,0.704,0.8283582089552238,[0.    0.888 1.   ],[0.    0.184 1.   ],5,2
106,9.0,0.64,0.7739726027397259,[0.    0.904 1.   ],[0.    0.264 1.   ],6,2
107,9.0,0.664,0.7785234899328858,[0.    0.928 1.   ],[0.    0.264 1.   ],7,2
108,9.0,0.696,0.7880794701986755,[0.    0.952 1.   ],[0.    0.256 1.   ],8,2
109,9.0,0.56,0.7302631578947368,[0.    0.888 1.   ],[0.    0.328 1.   ],9,2
110,0.5,0.608,0.8653846153846154,[0.   0.72 1.  ],[0.    0.112 1.   ],0,3
111,0.5,0.45599999999999996,0.7938144329896907,[0.    0.616 1.   ],[0.   0.16 1.  ],1,3
112,0.5,0.5680000000000001,0.865979381443299,[0.    0.672 1.   ],[0.    0.104 1.   ],2,3
113,0.5,0.512,0.7857142857142857,[0.    0.704 1.   ],[0.    0.192 1.   ],3,3
114,0.5,0.22399999999999992,0.5972222222222222,[0.    0.688 1.   ],[0.    0.464 1.   ],4,3
115,0.5,0.528,0.7796610169491526,[0.    0.736 1.   ],[0.    0.208 1.   ],5,3
116,0.5,0.5519999999999999,0.8285714285714285,[0.    0.696 1.   ],[0.    0.144 1.   ],6,3
117,0.5,0.664,0.9029126213592233,[0.    0.744 1.   ],[0.   0.08 1.  ],7,3
118,0.5,0.536,0.8316831683168316,[0.    0.672 1.   ],[0.    0.136 1.   ],8,3
119,0.5,0.52,0.8095238095238095,[0.   0.68 1.  ],[0.   0.16 1.  ],9,3
120,0.7,0.5519999999999999,0.822429906542056,[0.    0.704 1.   ],[0.    0.152 1.   ],0,3
121,0.7,0.608,0.8518518518518519,[0.    0.736 1.   ],[0.    0.128 1.   ],1,3
122,0.7,0.424,0.7054263565891472,[0.    0.728 1.   ],[0.    0.304 1.   ],2,3
123,0.7,0.504,0.7837837837837838,[0.    0.696 1.   ],[0.    0.192 1.   ],3,3
124,0.7,0.616,0.8235294117647058,[0.    0.784 1.   ],[0.    0.168 1.   ],4,3
125,0.7,0.544,0.7786885245901639,[0.   0.76 1.  ],[0.    0.216 1.   ],5,3
126,0.7,0.568,0.8141592920353982,[0.    0.736 1.   ],[0.    0.168 1.   ],6,3
127,0.7,0.512,0.7962962962962964,[0.    0.688 1.   ],[0.    0.176 1.   ],7,3
128,0.7,0.5439999999999999,0.820754716981132,[0.    0.696 1.   ],[0.    0.152 1.   ],8,3
129,0.7,0.496,0.7583333333333333,[0.    0.728 1.   ],[0.    0.232 1.   ],9,3
130,1.0,0.704,0.8548387096774194,[0.    0.848 1.   ],[0.    0.144 1.   ],0,3
131,1.0,0.6,0.8440366972477064,[0.    0.736 1.   ],[0.    0.136 1.   ],1,3
132,1.0,0.696,0.859504132231405,[0.    0.832 1.   ],[0.    0.136 1.   ],2,3
133,1.0,0.576,0.8272727272727273,[0.    0.728 1.   ],[0.    0.152 1.   ],3,3
134,1.0,0.6319999999999999,0.811023622047244,[0.    0.824 1.   ],[0.    0.192 1.   ],4,3
135,1.0,0.5840000000000001,0.7967479674796748,[0.    0.784 1.   ],[0.  0.2 1. ],5,3
136,1.0,0.512,0.7857142857142857,[0.    0.704 1.   ],[0.    0.192 1.   ],6,3
137,1.0,0.6000000000000001,0.7952755905511811,[0.    0.808 1.   ],[0.    0.208 1.   ],7,3
138,1.0,0.6239999999999999,0.8046874999999999,[0.    0.824 1.   ],[0.  0.2 1. ],8,3
139,1.0,0.584,0.7744360902255638,[0.    0.824 1.   ],[0.   0.24 1.  ],9,3
140,1.5,0.704,0.84375,[0.    0.864 1.   ],[0.   0.16 1.  ],0,3
141,1.5,0.5920000000000001,0.7890625,[0.    0.808 1.   ],[0.    0.216 1.   ],1,3
142,1.5,0.6,0.7737226277372262,[0.    0.848 1.   ],[0.    0.248 1.   ],2,3
143,1.5,0.6799999999999999,0.8512396694214875,[0.    0.824 1.   ],[0.    0.144 1.   ],3,3
144,1.5,0.72,0.8260869565217391,[0.    0.912 1.   ],[0.    0.192 1.   ],4,3
145,1.5,0.624,0.7635135135135134,[0.    0.904 1.   ],[0.   0.28 1.  ],5,3
146,1.5,0.584,0.7744360902255638,[0.    0.824 1.   ],[0.   0.24 1.  ],6,3
147,1.5,0.6639999999999999,0.8373983739837398,[0.    0.824 1.   ],[0.   0.16 1.  ],7,3
148,1.5,0.696,0.84251968503937,[0.    0.856 1.   ],[0.   0.16 1.  ],8,3
149,1.5,0.568,0.7553956834532373,[0.   0.84 1.  ],[0.    0.272 1.   ],9,3
150,2.0,0.5680000000000001,0.738255033557047,[0.   0.88 1.  ],[0.    0.312 1.   ],0,3
151,2.0,0.696,0.8175182481751825,[0.    0.896 1.   ],[0.  0.2 1. ],1,3
152,2.0,0.624,0.7708333333333333,[0.    0.888 1.   ],[0.    0.264 1.   ],2,3
153,2.0,0.52,0.76,[0.   0.76 1.  ],[0.   0.24 1.  ],3,3
154,2.0,0.704,0.8188405797101449,[0.    0.904 1.   ],[0.  0.2 1. ],4,3
155,2.0,0.6799999999999999,0.8294573643410852,[0.    0.856 1.   ],[0.    0.176 1.   ],5,3
156,2.0,0.752,0.8405797101449275,[0.    0.928 1.   ],[0.    0.176 1.   ],6,3
157,2.0,0.704,0.8333333333333333,[0.   0.88 1.  ],[0.    0.176 1.   ],7,3
158,2.0,0.664,0.8738738738738739,[0.    0.776 1.   ],[0.    0.112 1.   ],8,3
159,2.0,0.712,0.8677685950413223,[0.   0.84 1.  ],[0.    0.128 1.   ],9,3
160,2.5,0.768,0.8934426229508197,[0.    0.872 1.   ],[0.    0.104 1.   ],0,3
161,2.5,0.6799999999999999,0.8294573643410852,[0.    0.856 1.   ],[0.    0.176 1.   ],1,3
162,2.5,0.6639999999999999,0.8167938931297709,[0.    0.856 1.   ],[0.    0.192 1.   ],2,3
163,2.5,0.6,0.7659574468085105,[0.    0.864 1.   ],[0.    0.264 1.   ],3,3
164,2.5,0.632,0.7841726618705035,[0.    0.872 1.   ],[0.   0.24 1.  ],4,3
165,2.5,0.664,0.802919708029197,[0.   0.88 1.  ],[0.    0.216 1.   ],5,3
166,2.5,0.64,0.7898550724637681,[0.    0.872 1.   ],[0.    0.232 1.   ],6,3
167,2.5,0.744,0.8604651162790697,[0.    0.888 1.   ],[0.    0.144 1.   ],7,3
168,2.5,0.648,0.7832167832167831,[0.    0.896 1.   ],[0.    0.248 1.   ],8,3
169,2.5,0.696,0.8222222222222222,[0.    0.888 1.   ],[0.    0.192 1.   ],9,3
170,3.0,0.72,0.8515625,[0.    0.872 1.   ],[0.    0.152 1.   ],0,3
171,3.0,0.736,0.823943661971831,[0.    0.936 1.   ],[0.  0.2 1. ],1,3
172,3.0,0.784,0.8769230769230769,[0.    0.912 1.   ],[0.    0.128 1.   ],2,3
173,3.0,0.72,0.8308823529411764,[0.    0.904 1.   ],[0.    0.184 1.   ],3,3
174,3.0,0.6799999999999999,0.8244274809160305,[0.    0.864 1.   ],[0.    0.184 1.   ],4,3
175,3.0,0.632,0.7841726618705035,[0.    0.872 1.   ],[0.   0.24 1.  ],5,3
176,3.0,0.648,0.7832167832167831,[0.    0.896 1.   ],[0.    0.248 1.   ],6,3
177,3.0,0.696,0.83206106870229,[0.    0.872 1.   ],[0.    0.176 1.   ],7,3
178,3.0,0.704,0.860655737704918,[0.   0.84 1.  ],[0.    0.136 1.   ],8,3
179,3.0,0.752,0.8983050847457628,[0.    0.848 1.   ],[0.    0.096 1.   ],9,3
180,3.5,0.776,0.888,[0.    0.888 1.   ],[0.    0.112 1.   ],0,3
181,3.5,0.744,0.849624060150376,[0.    0.904 1.   ],[0.   0.16 1.  ],1,3
182,3.5,0.728,0.888888888888889,[0.    0.832 1.   ],[0.    0.104 1.   ],2,3
