,epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run,dimension
53,2.5,0.6160000000000001,0.7483870967741936,[0.    0.928 1.   ],[0.    0.312 1.   ],3,2
54,2.5,0.704,0.7972972972972973,[0.    0.944 1.   ],[0.   0.24 1.  ],4,2
55,2.5,0.6240000000000001,0.75,[0.    0.936 1.   ],[0.    0.312 1.   ],5,2
56,2.5,0.6960000000000001,0.7999999999999999,[0.    0.928 1.   ],[0.    0.232 1.   ],6,2
57,2.5,0.704,0.7972972972972973,[0.    0.944 1.   ],[0.   0.24 1.  ],7,2
58,2.5,0.696,0.7880794701986755,[0.    0.952 1.   ],[0.    0.256 1.   ],8,2
59,2.5,0.68,0.8057553956834532,[0.    0.896 1.   ],[0.    0.216 1.   ],9,2
60,3.0,0.744,0.8251748251748252,[0.    0.944 1.   ],[0.  0.2 1. ],0,2
61,3.0,0.632,0.7724137931034482,[0.    0.896 1.   ],[0.    0.264 1.   ],1,2
62,3.0,0.6479999999999999,0.7515527950310559,[0.    0.968 1.   ],[0.   0.32 1.  ],2,2
63,3.0,0.6319999999999999,0.7423312883435582,[0.    0.968 1.   ],[0.    0.336 1.   ],3,2
64,3.0,0.608,0.7261904761904763,[0.    0.976 1.   ],[0.    0.368 1.   ],4,2
65,3.0,0.736,0.8333333333333333,[0.   0.92 1.  ],[0.    0.184 1.   ],5,2
66,3.0,0.7040000000000001,0.8142857142857143,[0.    0.912 1.   ],[0.    0.208 1.   ],6,2
67,3.0,0.656,0.7808219178082191,[0.    0.912 1.   ],[0.    0.256 1.   ],7,2
68,3.0,0.704,0.7972972972972973,[0.    0.944 1.   ],[0.   0.24 1.  ],8,2
69,3.0,0.664,0.7902097902097901,[0.    0.904 1.   ],[0.   0.24 1.  ],9,2
70,3.5,0.648,0.7718120805369126,[0.   0.92 1.  ],[0.    0.272 1.   ],0,2
71,3.5,0.712,0.8201438848920863,[0.    0.912 1.   ],[0.  0.2 1. ],1,2
72,3.5,0.72,0.8,[0.   0.96 1.  ],[0.   0.24 1.  ],2,2
73,3.5,0.712,0.8248175182481752,[0.    0.904 1.   ],[0.    0.192 1.   ],3,2
74,3.5,0.528,0.6987951807228916,[0.    0.928 1.   ],[0.  0.4 1. ],4,2
75,3.5,0.664,0.7748344370860927,[0.    0.936 1.   ],[0.    0.272 1.   ],5,2
76,3.5,0.768,0.8333333333333334,[0.   0.96 1.  ],[0.    0.192 1.   ],6,2
