epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run,dimensions,mechanism
1.5,0.0769230769230768,0.5384615384615384,[0.         0.53846154 1.        ],[0.         0.46153846 1.        ],5,2,nd-laplace-optimal-truncated
1.5,0.1923076923076923,0.6086956521739131,[0.         0.53846154 1.        ],[0.         0.34615385 1.        ],6,2,nd-laplace-optimal-truncated
1.5,-0.0769230769230769,0.4545454545454545,[0.         0.38461538 1.        ],[0.         0.46153846 1.        ],7,2,nd-laplace-optimal-truncated
1.5,-0.1153846153846154,0.4634146341463414,[0.         0.73076923 1.        ],[0.         0.84615385 1.        ],8,2,nd-laplace-optimal-truncated
1.5,0.1923076923076923,0.7272727272727272,[0.         0.30769231 1.        ],[0.         0.11538462 1.        ],9,2,nd-laplace-optimal-truncated
2.0,0.0769230769230768,0.5357142857142857,[0.         0.57692308 1.        ],[0.  0.5 1. ],0,2,nd-laplace-optimal-truncated
2.0,0.1923076923076923,0.5641025641025641,[0.         0.84615385 1.        ],[0.         0.65384615 1.        ],1,2,nd-laplace-optimal-truncated
2.0,0.0384615384615384,0.5135135135135136,[0.         0.73076923 1.        ],[0.         0.69230769 1.        ],2,2,nd-laplace-optimal-truncated
2.0,0.1538461538461538,0.5588235294117647,[0.         0.73076923 1.        ],[0.         0.57692308 1.        ],3,2,nd-laplace-optimal-truncated
2.0,0.2692307692307693,0.6060606060606061,[0.         0.76923077 1.        ],[0.  0.5 1. ],4,2,nd-laplace-optimal-truncated
2.0,0.2692307692307692,0.6206896551724138,[0.         0.69230769 1.        ],[0.         0.42307692 1.        ],5,2,nd-laplace-optimal-truncated
2.0,0.1538461538461538,0.5588235294117647,[0.         0.73076923 1.        ],[0.         0.57692308 1.        ],6,2,nd-laplace-optimal-truncated
2.0,0.1538461538461538,0.5526315789473684,[0.         0.80769231 1.        ],[0.         0.65384615 1.        ],7,2,nd-laplace-optimal-truncated
2.0,0.2692307692307693,0.6,[0.         0.80769231 1.        ],[0.         0.53846154 1.        ],8,2,nd-laplace-optimal-truncated
2.0,0.3846153846153846,0.65625,[0.         0.80769231 1.        ],[0.         0.42307692 1.        ],9,2,nd-laplace-optimal-truncated
2.5,0.0769230769230768,0.5277777777777778,[0.         0.73076923 1.        ],[0.         0.65384615 1.        ],0,2,nd-laplace-optimal-truncated
2.5,0.0769230769230769,0.55,[0.         0.42307692 1.        ],[0.         0.34615385 1.        ],1,2,nd-laplace-optimal-truncated
2.5,0.0769230769230769,0.53125,[0.         0.65384615 1.        ],[0.         0.57692308 1.        ],2,2,nd-laplace-optimal-truncated
2.5,0.4230769230769231,0.6486486486486487,[0.         0.92307692 1.        ],[0.  0.5 1. ],3,2,nd-laplace-optimal-truncated
2.5,0.1153846153846153,0.5428571428571428,[0.         0.73076923 1.        ],[0.         0.61538462 1.        ],4,2,nd-laplace-optimal-truncated
2.5,-0.0384615384615384,0.4827586206896551,[0.         0.53846154 1.        ],[0.         0.57692308 1.        ],5,2,nd-laplace-optimal-truncated
2.5,0.1153846153846153,0.5428571428571428,[0.         0.73076923 1.        ],[0.         0.61538462 1.        ],6,2,nd-laplace-optimal-truncated
2.5,-0.0769230769230769,0.4687499999999999,[0.         0.57692308 1.        ],[0.         0.65384615 1.        ],7,2,nd-laplace-optimal-truncated
2.5,0.5,0.782608695652174,[0.         0.69230769 1.        ],[0.         0.19230769 1.        ],8,2,nd-laplace-optimal-truncated
2.5,0.1153846153846154,0.5454545454545455,[0.         0.69230769 1.        ],[0.         0.57692308 1.        ],9,2,nd-laplace-optimal-truncated
3.0,0.3076923076923077,0.625,[0.         0.76923077 1.        ],[0.         0.46153846 1.        ],0,2,nd-laplace-optimal-truncated
3.0,0.3461538461538461,0.6551724137931034,[0.         0.73076923 1.        ],[0.         0.38461538 1.        ],1,2,nd-laplace-optimal-truncated
3.0,0.0,0.5,[0.         0.76923077 1.        ],[0.         0.76923077 1.        ],2,2,nd-laplace-optimal-truncated
3.0,0.3846153846153846,0.6923076923076923,[0.         0.69230769 1.        ],[0.         0.30769231 1.        ],3,2,nd-laplace-optimal-truncated
3.0,0.3076923076923077,0.6052631578947368,[0.         0.88461538 1.        ],[0.         0.57692308 1.        ],4,2,nd-laplace-optimal-truncated
