epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run
0.5,0.18297630869626896,0.5788405584488618,[0.         0.67169811 1.        ],[0.        0.4887218 1.       ],1
0.5,0.23180592991913745,0.6064356435643564,[0.         0.66037736 1.        ],[0.         0.42857143 1.        ],2
0.5,0.27344304156617955,0.6141005150062155,[0.         0.73584906 1.        ],[0.         0.46240602 1.        ],3
0.5,0.27317349978720384,0.6294503603312896,[0.         0.66415094 1.        ],[0.         0.39097744 1.        ],4
0.5,0.2880550432685487,0.6504631344942571,[0.         0.62264151 1.        ],[0.         0.33458647 1.        ],5
0.5,0.20512129380053906,0.6115508648490179,[0.         0.56226415 1.        ],[0.         0.35714286 1.        ],6
0.5,0.25830614271527874,0.6112849599061216,[0.         0.70943396 1.        ],[0.         0.45112782 1.        ],7
0.5,0.31099446730032626,0.6366333424746329,[0.        0.7245283 1.       ],[0.         0.41353383 1.        ],8
0.5,0.254745353950915,0.6003105902331661,[0.         0.76226415 1.        ],[0.        0.5075188 1.       ],9
0.5,0.19414101290963254,0.5891472868217055,[0.         0.64150943 1.        ],[0.         0.44736842 1.        ],10
0.5,0.22821676833593413,0.5964483134884948,[0.         0.70566038 1.        ],[0.         0.47744361 1.        ],11
0.5,0.24333948077741518,0.6002829648164821,[0.         0.72830189 1.        ],[0.         0.48496241 1.        ],12
0.5,0.20591573272804653,0.5767623882807129,[0.         0.77358491 1.        ],[0.         0.56766917 1.        ],13
0.5,0.31503759398496245,0.6225863077823288,[0.  0.8 1. ],[0.         0.48496241 1.        ],14
0.5,0.2542204568023833,0.6282565130260521,[0.         0.62264151 1.        ],[0.         0.36842105 1.        ],15
0.5,0.20558944531139167,0.5880095224214158,[0.         0.68679245 1.        ],[0.         0.48120301 1.        ],16
0.5,0.3188679245283019,0.6208869814020028,[0.         0.81886792 1.        ],[0.  0.5 1. ],17
0.5,0.23567881969073623,0.6028757910902492,[0.         0.69056604 1.        ],[0.         0.45488722 1.        ],18
0.5,0.284494254504185,0.6333838827254105,[0.        0.6754717 1.       ],[0.         0.39097744 1.        ],19
0.5,0.21319336076039153,0.5884124817621311,[0.         0.70943396 1.        ],[0.        0.4962406 1.       ],20
0.5,0.15673145126968357,0.5640033368864995,[0.         0.69056604 1.        ],[0.         0.53383459 1.        ],21
0.5,0.262278337352816,0.6032756848549851,[0.         0.76603774 1.        ],[0.        0.5037594 1.       ],22
0.5,0.27355653284153786,0.6086819293677365,[0.         0.76603774 1.        ],[0.        0.4924812 1.       ],23
0.5,0.28819690736274645,0.6395548533351652,[0.         0.66037736 1.        ],[0.         0.37218045 1.        ],24
0.5,0.3147396793871471,0.6396645934580616,[0.         0.72075472 1.        ],[0.         0.40601504 1.        ],25
0.5,0.18699106256206544,0.57235072619688,[0.         0.73962264 1.        ],[0.         0.55263158 1.        ],26
0.5,0.2395800822811746,0.5984286846645218,[0.         0.72830189 1.        ],[0.        0.4887218 1.       ],27
0.5,0.1905092920981699,0.5820853555666939,[0.        0.6754717 1.       ],[0.         0.48496241 1.        ],28
0.5,0.3070506454816286,0.6470700152207002,[0.        0.6754717 1.       ],[0.         0.36842105 1.        ],29
0.5,0.23546602354943963,0.614031712880266,[0.         0.63396226 1.        ],[0.         0.39849624 1.        ],30
0.5,0.19795715704355227,0.5887500954028545,[0.         0.65660377 1.        ],[0.         0.45864662 1.        ],31
0.5,0.24328273513973608,0.6028129833691052,[0.         0.71320755 1.        ],[0.         0.46992481 1.        ],32
0.5,0.21286707334373667,0.6030917210580558,[0.         0.62264151 1.        ],[0.         0.40977444 1.        ],33
0.5,0.2619662363455809,0.6186364454038495,[0.         0.68301887 1.        ],[0.         0.42105263 1.        ],34
0.5,0.27740104979429714,0.6066962044655914,[0.         0.78867925 1.        ],[0.        0.5112782 1.       ],35
0.5,0.18274932614555256,0.5878693623639192,[0.         0.61132075 1.        ],[0.         0.42857143 1.        ],36
0.5,0.22028656547027947,0.6132967546112538,[0.         0.59622642 1.        ],[0.         0.37593985 1.        ],37
0.5,0.2846219321889629,0.6254674621340037,[0.         0.70943396 1.        ],[0.         0.42481203 1.        ],38
0.5,0.2543339480777415,0.62095860096076,[0.         0.65283019 1.        ],[0.         0.39849624 1.        ],39
0.5,0.14526883245850475,0.5638403990024937,[0.         0.64150943 1.        ],[0.        0.4962406 1.       ],40
0.5,0.17195346857710303,0.5657670562446419,[0.         0.73962264 1.        ],[0.         0.56766917 1.        ],41
0.5,0.2015888778550149,0.5965746907706945,[0.         0.62264151 1.        ],[0.         0.42105263 1.        ],42
0.5,0.19026812313803376,0.5921508272412467,[0.         0.61132075 1.        ],[0.         0.42105263 1.        ],43
0.5,0.2808341608738828,0.6250442164839053,[0.         0.70188679 1.        ],[0.         0.42105263 1.        ],44
0.5,0.2920981699531848,0.6322754721829629,[0.         0.69811321 1.        ],[0.         0.40601504 1.        ],45
0.5,0.2396510143282734,0.5955021878498015,[0.         0.74716981 1.        ],[0.        0.5075188 1.       ],46
0.5,0.28825365300042555,0.6356245577967935,[0.        0.6754717 1.       ],[0.         0.38721805 1.        ],47
0.5,0.20923535253227404,0.5947647746694252,[0.         0.65660377 1.        ],[0.         0.44736842 1.        ],48
0.5,0.2807064831891048,0.6330182717775656,[0.         0.66792453 1.        ],[0.         0.38721805 1.        ],49
0.7,0.22798978578521772,0.6072816117274803,[0.         0.64528302 1.        ],[0.         0.41729323 1.        ],0
0.7,0.28113207547169816,0.6097201767304861,[0.         0.78113208 1.        ],[0.  0.5 1. ],1
0.7,0.24309831181727903,0.6120058565153734,[0.         0.66415094 1.        ],[0.         0.42105263 1.        ],2
0.7,0.14915590863952333,0.5620558585357792,[0.        0.6754717 1.       ],[0.         0.52631579 1.        ],3
0.7,0.2994325436232089,0.6499140588377346,[0.        0.6490566 1.       ],[0.         0.34962406 1.        ],4
0.7,0.1752447155624911,0.5830587792316071,[0.         0.61509434 1.        ],[0.         0.43984962 1.        ],5
0.7,0.2921974748191232,0.626289133873717,[0.        0.7245283 1.       ],[0.         0.43233083 1.        ],6
0.7,0.307277628032345,0.6319444444444444,[0.         0.73584906 1.        ],[0.         0.42857143 1.        ],7
0.7,0.28124556674705636,0.6048331658822907,[0.         0.81132075 1.        ],[0.         0.53007519 1.        ],8
0.7,0.16430699389984393,0.5658801847512002,[0.         0.70566038 1.        ],[0.         0.54135338 1.        ],9
0.7,0.2845935593701234,0.6271437806593908,[0.         0.70188679 1.        ],[0.         0.41729323 1.        ],10
0.7,0.19802808909065112,0.5858814554135033,[0.        0.6754717 1.       ],[0.         0.47744361 1.        ],11
0.7,0.20178748758689175,0.5877981334255098,[0.        0.6754717 1.       ],[0.         0.47368421 1.        ],12
0.7,0.20202865654702784,0.579089424753696,[0.         0.73962264 1.        ],[0.         0.53759398 1.        ],13
0.7,0.19409845368137324,0.5910167371810223,[0.         0.63018868 1.        ],[0.         0.43609023 1.        ],14
0.7,0.3034898567172648,0.6315957826359755,[0.         0.72830189 1.        ],[0.         0.42481203 1.        ],15
0.7,0.3372960703645907,0.652731383935454,[0.         0.72075472 1.        ],[0.         0.38345865 1.        ],16
0.7,0.2166832174776564,0.6023260176327142,[0.         0.63773585 1.        ],[0.         0.42105263 1.        ],17
0.7,0.27713150801532127,0.6197804893003863,[0.         0.71698113 1.        ],[0.         0.43984962 1.        ],18
0.7,0.30351822953610436,0.62991074139292,[0.         0.73584906 1.        ],[0.         0.43233083 1.        ],19
0.7,0.19043836005107107,0.5848074396037602,[0.         0.65660377 1.        ],[0.         0.46616541 1.        ],20
0.7,0.2286139877996879,0.5819976593904239,[0.         0.81132075 1.        ],[0.         0.58270677 1.        ],21
0.7,0.23565044687189668,0.6042343846086269,[0.         0.68301887 1.        ],[0.         0.44736842 1.        ],22
0.7,0.22837281883955163,0.5901970012774828,[0.         0.74716981 1.        ],[0.         0.51879699 1.        ],23
0.7,0.14895729890764647,0.5679347826086957,[0.         0.62264151 1.        ],[0.         0.47368421 1.        ],24
0.7,0.22051354802099588,0.6009036144578314,[0.         0.65660377 1.        ],[0.         0.43609023 1.        ],25
0.7,0.25824939707759964,0.6142261934641835,[0.         0.69433962 1.        ],[0.         0.43609023 1.        ],26
0.7,0.26210810043977867,0.611119130100077,[0.         0.72075472 1.        ],[0.         0.45864662 1.        ],27
0.7,0.2546602354943963,0.6039781744882473,[0.         0.73962264 1.        ],[0.         0.48496241 1.        ],28
0.7,0.1942261313661512,0.5856319035288524,[0.         0.66415094 1.        ],[0.         0.46992481 1.        ],29
0.7,0.23180592991913745,0.6064356435643564,[0.         0.66037736 1.        ],[0.         0.42857143 1.        ],30
