type,epsilon,ari,ami,ch,sc
"KMeans(clusters=4, init=random)",0.1,0.15654038806436602,0.16143543857854534,1011.8649576140926,0.31661399948534924
"OPTICS(min_samples=6, distance_metric=euclidean)",0.1,0.004240982726225618,0.031634885406800525,102.56778373253564,0.4919921484985209
"KMeans(clusters=4, init=random)",0.5,0.5413931790829483,0.4808356664840206,1086.8536454413693,0.3224381061986167
"OPTICS(min_samples=6, distance_metric=euclidean)",0.5,0.07984255904764744,0.11450038819673021,34.99103481211564,0.06451556958853998
"KMeans(clusters=4, init=random)",1.0,0.6933613636860615,0.6351413633222159,1177.8428291654766,0.34368224666545555
"OPTICS(min_samples=6, distance_metric=euclidean)",1.0,0.08370502738170461,0.13714537220450354,31.947968932929392,-0.0023640775993856973
"KMeans(clusters=4, init=random)",2.0,0.7903643786752024,0.7371117634190772,1174.6635593065118,0.3427019623183466
"OPTICS(min_samples=6, distance_metric=euclidean)",2.0,0.11540000155980139,0.2096456736743461,29.579089591781603,-0.05515824865516833
"KMeans(clusters=4, init=random)",3.0,0.8208391655873074,0.7790187188563937,1195.0952332969418,0.34824298989795155
"OPTICS(min_samples=6, distance_metric=euclidean)",3.0,0.13557018420792505,0.2528377107642124,27.674140382901946,-0.05857962846203255
"KMeans(clusters=4, init=random)",5.0,0.8546602909365515,0.8194621347441553,1193.3183617350903,0.347845146397247
"OPTICS(min_samples=6, distance_metric=euclidean)",5.0,0.1801785133184363,0.30728440157043624,24.825929406469154,-0.07304538674616257
"KMeans(clusters=4, init=random)",7.0,0.8684673672756567,0.8328236312284869,1193.2658290926533,0.34587145692622234
"OPTICS(min_samples=6, distance_metric=euclidean)",7.0,0.2052475476429509,0.34845650327357613,26.02358934475861,-0.02611506784788497
"KMeans(clusters=4, init=random)",9.0,0.8741232534462527,0.8512565250548405,1192.9561008074365,0.34597911942807974
"OPTICS(min_samples=6, distance_metric=euclidean)",9.0,0.25375004143487967,0.3861279003246855,26.56894855735745,-0.01382057659501322
