type,epsilon,ari,ami,ch,sc
"KMeans(clusters=4, init=random)",0.1,0.48499920610137737,0.46911587724643766,30.385433374418273,0.1607273012232713
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",0.1,0.17018517090188492,0.27723212325492635,20.393604398070895,0.13926168248243048
"KMeans(clusters=4, init=random)",0.5,0.4989369883527567,0.517525416094773,53.36111446312681,0.20118815588734695
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",0.5,0.23598853347818377,0.3812692265241631,25.336719405024972,0.13814492207774795
"KMeans(clusters=4, init=random)",1.0,0.5735945950156577,0.5639615243856324,76.60832617001248,0.2535847466450721
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",1.0,0.24863296305539945,0.388347348806918,35.25407638500782,0.1597428219994659
"KMeans(clusters=4, init=random)",2.0,0.6090860283776222,0.620679433476691,106.38224177763001,0.29759133843691793
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",2.0,0.32675658551347764,0.4883823249275127,47.525892066259544,0.15859782193198366
"KMeans(clusters=4, init=random)",3.0,0.64134540575478,0.6528310005454527,126.12674589978671,0.28881137561674897
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",3.0,0.3999671536650756,0.5583441492305645,54.28602552495064,0.15727476546854371
"KMeans(clusters=4, init=random)",5.0,0.6113460072233453,0.664452463022751,137.67587107082255,0.26295606454476333
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",5.0,0.3286631675724355,0.49137181099469596,68.46328485571553,0.1716755033371247
"KMeans(clusters=4, init=random)",7.0,0.7502623437862079,0.760528034973974,148.42837787642966,0.27925615605285203
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",7.0,0.27059259860874263,0.46652912217321213,66.19107397142606,0.17593867883956077
"KMeans(clusters=4, init=random)",9.0,0.6342999421873052,0.6650891174079099,150.69325082115978,0.27888420700088623
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",9.0,0.2864278764433875,0.5008344757512584,80.3901848014335,0.20873942393618222
