,algorithm,clustering_algorithm,dimensions,ari,ami,ch,sc,mechanism,epsilon
0,grid-kd-Laplace,KMeans(clusters=4),2,0.061210468165505974,0.061668518939264935,1116.448434024328,0.4414976225060978,grid-kd-Laplace,0.5
1,grid-kd-Laplace,OPTICS(min_samples=4),2,-0.003145601395228387,0.001973814222842151,110.70151047428047,0.631314669349071,grid-kd-Laplace,0.5
2,grid-kd-Laplace,KMeans(clusters=4),3,0.08721384568225551,0.096705019060866,976.8681629961924,0.41738982696075827,grid-kd-Laplace,0.5
3,grid-kd-Laplace,OPTICS(min_samples=4),3,0.0023733099263604273,0.005710246240434257,133.489745479096,0.8489467984977341,grid-kd-Laplace,0.5
4,grid-kd-Laplace,KMeans(clusters=4),2,0.08762777471060545,0.10198642296309149,877.0774384035424,0.38181674403324817,grid-kd-Laplace,0.7
5,grid-kd-Laplace,OPTICS(min_samples=4),2,-0.011590645589183962,-0.009479956800694033,81.66997335475358,0.5743800295218,grid-kd-Laplace,0.7
6,grid-kd-Laplace,KMeans(clusters=4),3,0.12817849543601373,0.14147706842223565,879.1012711917641,0.38522462074567726,grid-kd-Laplace,0.7
7,grid-kd-Laplace,OPTICS(min_samples=4),3,-0.0014477297397248754,0.0008209728965802006,116.66932475271786,0.8810670034777506,grid-kd-Laplace,0.7
8,grid-kd-Laplace,KMeans(clusters=4),2,0.13229034875240447,0.1578556245957083,714.7104263973667,0.33261861965467776,grid-kd-Laplace,1.0
9,grid-kd-Laplace,OPTICS(min_samples=4),2,0.0012981789870975331,0.005965146824048703,32.72195628694807,0.4920230226035634,grid-kd-Laplace,1.0
10,grid-kd-Laplace,KMeans(clusters=4),3,0.1898001516013351,0.19629075260450154,775.4182000653891,0.3643042350478799,grid-kd-Laplace,1.0
11,grid-kd-Laplace,OPTICS(min_samples=4),3,0.0012357799737564633,0.01422764810530008,75.066279447587,0.8462124802845945,grid-kd-Laplace,1.0
12,grid-kd-Laplace,KMeans(clusters=4),2,0.2228284777194065,0.26380150912709277,731.9229946012424,0.3462413166666277,grid-kd-Laplace,1.5
13,grid-kd-Laplace,OPTICS(min_samples=4),2,0.013510420276079991,0.024859543329985714,19.003542108648247,0.2611611376369397,grid-kd-Laplace,1.5
14,grid-kd-Laplace,KMeans(clusters=4),3,0.30176725322090336,0.32869635219584953,735.3747054215772,0.3579368577939378,grid-kd-Laplace,1.5
15,grid-kd-Laplace,OPTICS(min_samples=4),3,0.002519443250044716,0.0175371026302868,42.43890406213652,0.79309210933111,grid-kd-Laplace,1.5
16,grid-kd-Laplace,KMeans(clusters=4),2,0.26447909406939407,0.33080725432954916,780.1536408497448,0.3581041025810444,grid-kd-Laplace,2.0
17,grid-kd-Laplace,OPTICS(min_samples=4),2,0.012898566685839514,0.010370704271518554,17.275293505376563,0.23722515619514012,grid-kd-Laplace,2.0
18,grid-kd-Laplace,KMeans(clusters=4),3,0.3096878000698521,0.3920256108219547,788.3017120394454,0.38081237116853267,grid-kd-Laplace,2.0
19,grid-kd-Laplace,OPTICS(min_samples=4),3,0.0071502160938657815,0.02835458059589836,30.24968051324821,0.7333068881701831,grid-kd-Laplace,2.0
20,grid-kd-Laplace,KMeans(clusters=4),2,0.4753511088923762,0.4953991777913698,817.7431825715895,0.36778828442462425,grid-kd-Laplace,2.5
21,grid-kd-Laplace,OPTICS(min_samples=4),2,0.01832040144058713,0.023133724154468793,11.934551688005223,0.14768129996497853,grid-kd-Laplace,2.5
22,grid-kd-Laplace,KMeans(clusters=4),3,0.33896163993151396,0.41174590208233763,842.8792908448106,0.3891849146969956,grid-kd-Laplace,2.5
23,grid-kd-Laplace,OPTICS(min_samples=4),3,0.00337690587678141,0.04737005385888775,60.10745436562412,0.7769219404226807,grid-kd-Laplace,2.5
24,grid-kd-Laplace,KMeans(clusters=4),2,0.4018934764617598,0.4968852857493987,934.3606439144656,0.4036904589917333,grid-kd-Laplace,3.0
25,grid-kd-Laplace,OPTICS(min_samples=4),2,0.012390976105786223,0.028257366920860606,10.197820030463502,-0.023148933746089586,grid-kd-Laplace,3.0
26,grid-kd-Laplace,KMeans(clusters=4),3,0.3793115538952453,0.47877744909674275,930.0729230613131,0.4064742762651131,grid-kd-Laplace,3.0
27,grid-kd-Laplace,OPTICS(min_samples=4),3,-2.3060783075932158e-05,0.057373025449585266,59.63698670123873,0.7448490426453864,grid-kd-Laplace,3.0
28,grid-kd-Laplace,KMeans(clusters=4),2,0.614609376130294,0.6021880134220395,975.1009177598398,0.4184138375873806,grid-kd-Laplace,3.5
29,grid-kd-Laplace,OPTICS(min_samples=4),2,0.00033938997927541613,0.01751700149334935,10.149804623938667,-0.024578381209526455,grid-kd-Laplace,3.5
30,grid-kd-Laplace,KMeans(clusters=4),3,0.4139344120749772,0.5321403148693176,992.8794546678939,0.42767916353312196,grid-kd-Laplace,3.5
31,grid-kd-Laplace,OPTICS(min_samples=4),3,0.0001719535934089946,0.06630042421700708,72.3408383456382,0.7573961526722578,grid-kd-Laplace,3.5
32,grid-kd-Laplace,KMeans(clusters=4),2,0.7324246730046262,0.7058599772531193,1025.8857701655875,0.420682455065312,grid-kd-Laplace,5.0
33,grid-kd-Laplace,OPTICS(min_samples=4),2,0.0022545999303641563,0.022632118111186372,7.711857359471433,-0.11902889974764816,grid-kd-Laplace,5.0
34,grid-kd-Laplace,KMeans(clusters=4),3,0.6880684426424251,0.6754144759758177,1078.8672225686914,0.4524817055100886,grid-kd-Laplace,5.0
35,grid-kd-Laplace,OPTICS(min_samples=4),3,0.00969218681914816,0.10915034648385688,81.680347557392,0.7113859430550284,grid-kd-Laplace,5.0
36,grid-kd-Laplace,KMeans(clusters=4),2,0.44897355447808424,0.5679865954306689,1122.763936522135,0.4445432483260102,grid-kd-Laplace,7.0
